ania,kawa,wino,czerwony,pies,past,trump
monika,kawa,wino,czerwony,pies,past,trump
jacek,kawa,wino,czerwony,pies,past,trump
wacek,kawa,wino,czerwony,pies,past,trump
kazio,kawa,wino,czerwony,pies,past,trump
luiza,kawa,wino,czerwony,pies,past,trump
pawel,kawa,wino,czerwony,pies,past,trump
majster,kawa,wino,zielony,pies,future,tusk
placek,kawa,wino,zielony,pies,future,tusk
rybka,kawa,wino,zielony,pies,future,tusk
krzysio,kawa,wino,zielony,pies,future,tusk
piotr,kawa,wino,zielony,pies,future,tusk
kajster,kawa,wino,zielony,pies,future,tusk
plajster,kawa,wino,zielony,pies,future,tusk
fagajster,kawa,wino,zielony,pies,future,tusk
