ania,kawa,wino,czerwony,pies,past,trump
monika,kawa,wino,zielony,pies,future,tusk
jacek,kawa,wino,czerwony,pies,past,trump
wacek,kawa,wino,czerwony,pies,past,trump
kazio,kawa,wino,czerwony,pies,past,trump
luiza,kawa,wino,zielony,pies,future,tusk
pawel,kawa,wino,czerwony,pies,past,trump
majster,kawa,wino,zielony,pies,future,tusk
placek,kawa,wino,zielony,pies,future,tusk
rybka,kawa,wino,zielony,pies,future,tusk
krzysio,herbata,wino,czerwony,pies,past,trump
piotr,kawa,wino,zielony,pies,future,tusk
kajster,kawa,wino,zielony,pies,future,tusk
plajster,kawa,wino,czerwony,pies,past,trump
fagajster,kawa,wino,zielony,pies,future,tusk
